2 ^ Dixit injústus ut delìnqŭat in semet ìpso~; non èst tìmor Dei ante òculos ejus. ^ The unjust hath declared within himself that he might sin~; there is no fear of God before his eyes.
3 ^ Qŭóniam dolóse egit in conspèctu ejus, ut inveniátur iníqŭitas ejus ad ódium. ^ For in his sight he hath done deceitfully, that his iniquity may be found unto hatred.
4 ^ Vèrba oris ejus iníqŭitas et dolus~; nóluit intellègere ut bène ágeret. ^ The words of his mouth are iniquity and guile~; he has not wished to understand that he might do well.
5 ^ iniqŭitátem meditátus èst in cubíli suo~; ástitit òmni viaĕ non bonaĕ, malìtiam aŭtem non odívit. ^ He hath devised iniquity on his bed~; he hath set himself on every way that is not good, but evil he hath not hated.
6 ^ Dòmine, in caĕlo misericórdia tua, et vèritas tua usqŭe ad nubes. ^ O Lord, thy mercy is in heaven, and thy truth reacheth even to the clouds.
7 ^ Justìtia tua sicut mòntes Dei~; judìcia tua abìssus mùlta. Hòmines et jumènta salvábis, Dòmine. ^ Thy justice is as the mountains of God~; thy judgments are a great deep. Men and beasts thou wilt preserve, O Lord.
8 ^ Qŭemádmodum multiplicavìsti misericórdiam tuam, Deus. Fílii aŭtem hòminum in tegìmine alárum tuárum sperábunt. ^ How hast thou multiplied thy mercy, O God! But the children of men shall put their trust under the cover of thy wings.
9 ^ Inebriabùntur ab ubertáte domûs tuaĕ, et torrènte voluptátis tuaĕ potábis eos. ^ They shall be inebriated with the plenty of thy house, and thou shalt make them drink of the torrent of thy pleasure.
10 ^ Qŭóniam apud te èst fons vitaĕ, et in lúmine tuo vǐdébimus lumen. ^ For with thee is the fountain of life, and in thy light we shall see light.
11 ^ Praĕtènde misericórdiam tuam scièntibus te, et justìtiam tuam hîs qŭi recto sùnt corde. ^ Extend thy mercy to them that know thee, and thy justice to them that are right in heart.
12 ^ Non vèniat mìhi pes supèrbiaĕ, et manus peccatóris non móveat me. ^ Let not the foot of pride come to me, and let not the hand of the sinner move me.
13 ^ Ìbi cecidérunt qŭi operántur iniqŭitátem~; expùlsi sùnt, nec potuérunt stare. ^ There the workers of iniquity are fallen, they are cast out, and could not stand.
