2 ^ Exspèctans exspectávi Dòminum, et intèndit mìchi. 
3 ^ Et exaudívit prèces meas, et edúxit me de lacu misèriae et de luto faecis. Et statúvit super pètram pèdes meos, et diréxit gressûs meos. 
4 ^ Et immísit in os meum cánticum novum, carmen Deo nostro. Vǐdébunt mùlti, et timébunt, et sperábunt in Dòmino. 
5 ^ Beátus vìr cujus est nomen Dòmini spes ejus, et non respèxit in vanitátes et insánias falsas. 
6 ^ Multa fecìsti tu, Dòmine Deus meus, mirabìlia tua, et coǧitaçiónibus tuîs non est qvi sìmilis sit tìbi. Adnunçiávi et locútus sum~; multiplicáti sunt super númerum. 
7 ^ Sacrifìcium et oblaçiónem noluìsti~; aures autem perfecìsti mìchi. Holocáustum et pro peccáto non postulavìsti. 
8 ^ Tunc dixi, «~Ecce vènio~; in cápite libri scriptum est de me, 
9 ^ ut fácerem voluntátem tuam~; Deus meus, vólui, et leǧem tuam in mèdio cordis mei.~»
10 ^ Adnunçiávi justìṭiam tuam in ecclésia magna~; ecce lábia mea non prohibébo~; Dòmine, tu scivìsti. 
11 ^ Justìṭiam tuam non abscòndi in corde meo~; veritátem tuam et salutáre tuum dixi. Non abscòndui misericórdiam tuam et veritátem tuam a concìlio mùlto. 
12 ^ Tu autem, Dòmine, ne longe fácias miseraçiónes tuas a me~; misericórdia tua et vèritas tua sèmper suscepérunt me. 
13 ^ Qvóniam circumdedérunt me mala qvórum non est númerus~; comprehendérunt me iniqvitátes meae, et non pótui ut vedérem~; multiplicátae sunt super capìllos cápitis mei, et cor meum derelíqvit me. 
14 ^ Compláceat tìbi, Dòmine, ut éruas me~; Dòmine, ad adjuvándum me rèspiçe. 
15 ^ Confundántur et revereántur sìmul, qvi qvaerunt ánimam meam, ut áuferant eam~; convertántur retrósum et revereántur, qvi volunt mìchi mala. 
16 ^ Fèrant confèstim confușiónem suam, qvi dicunt mìchi, «~Bène, bène.~»
17 ^ Exsùltent et laetèntur super te òmnes qvaerèntes te, et dicant sèmper, «~Magnificétur Dòminus~», qvi díliǧunt salutáre tuum. 
18 ^ Ego autem mendícus sum et pauper~; Dòminus sollìcitus est mei. Adjútor meus et protéctor meus tu es~; Deus meus, ne  tardáverîs. 
