2 ^ Cvam dilécta tabernácula tua Dòmine virtútum. 
3 ^ Concupíscit et défičit ánima mea in átria Dòmini~; cor meum et carnis mea exsultavérunt in Deum vivum. 
4 ^ Ètenim passer invénit sìbi domum, et turtur nidum sìbi, ubi ponat pullos suos~; altária tua, Dòmine virtútum, rex meus, et Deus meus. 
5 ^ Beáti cvi hábitant in domu tua, Dòmine~; in sáecula saeculórum laudábunt te. 
6 ^ Beátus vìr cujus est auxìlium a te~; ascensiónes in corde suo dispósuit, 
7 ^ in valle lacrimárum, in loco cvem pósuit. 
8 ^ Ètenim benedicṭiónem dabit leǧislátor~; ibunt de virtúte in virtútem~; vedébitur Deus deórum in Sióne. 
9 ^ Dòmine Deus virtútum, exáudi oraṭiónem meam~; áuribus pèrcipe, Deus Jacóbis. 
10 ^ Protéctor noster, áspice, Deus, et rèspice in fáčiem christi tui. 
11 ^ Cvia mèlior est dies una in átriîs tuîs super mìllia~; eléǧi abjèctus esse in domu Dei mei maǧis cvam habitáre in tabernáculîs peccatórum. 
12 ^ Cvia misericórdiam et veritátem díliǧit Deus~; gráṭiam et glóriam dabit Dòminus. 
13 ^ Non privábit bonîs eos cvi ámbülant in innocènṭia~; Dòmine virtútum, beátus hòmo cvi sperat in te. 
