1 ^ Júdica me Dòmine, qvóniam ego in innoçènzia mea ingrèssus sum, et in Dòmino sperans non infirmábor. 
2 ^ Proba me, Dòmine, et tenta me~; ure renes meos et cor meum. 
3 ^ Qvóniam misericórdia tua ante òculos meos est, et complácui in veritáte tua. 
4 ^ Non sêdi cum conçìlio vanitátis, et cum iníqva gerèntibus non introíbo. 
5 ^ Odívi ecclésiam malignántium, et cum ìmpiîs non sědébo. 
6 ^ Lavábo inter innoçèntes manûs meas, et çircùmdabo altáre tuum Dòmine, 
7 ^ ut áudiam voçem laudis, et enárrem univèrsa mirabìlia tua. 
8 ^ Dòmine, diléxi decórem domûs tuae, et locum habitaziónis glóriae tuae. 
9 ^ Ne pèrdas cum ìmpiîs, Deus, ánimam meam, et cum vìrîs sángvinum vitam meam, 
10 ^ In qvórum mánibus iniqvitátes sunt~; dèxtera eórum repléta est munèribus. 
11 ^ Ego autem in innoçènzia mea ingrèssus sum~; rèdime me, et miserére mei. 
12 ^ Pes meus stètit in dirécto~; in ecclésiîs benedícem te, Dòmine. 
