1 ^ Júdica me Dòmine, qụóniam ego in innocènṭia mea ingrèssus sum, et in Dòmino sperans non infirmábor. 
2 ^ Proba me, Dòmine, et tenta me~; ure renes meos et cor meum. 
3 ^ Qụóniam misericórdia tua ante òculos meos est, et complácui in veritáte tua. 
4 ^ Non sêdi cum concìlio vanitátis, et cum iníqụa ǧerèntibus non introíbo. 
5 ^ Odívi ecclésiam malignántium, et cum ìmpiîs non sědébo. 
6 ^ Lavábo inter innocèntes manûs meas, et circùmdabo altáre tuum Dòmine, 
7 ^ ut áudiam vocem laudis, et enárrem ünivèrsa mirabìlia tua. 
8 ^ Dòmine, diléxi decórem domûs tuae, et locum habitaṭiónis glóriae tuae. 
9 ^ Ne pèrdas cum ìmpiîs, Deus, ánimam meam, et cum vìrîs sángvinum vitam meam, 
10 ^ In qụórum mánibus iniqụitátes sunt~; dèxtera eórum repléta est munèribus. 
11 ^ Ego autem in innocènṭia mea ingrèssus sum~; rèdime me, et miserére mei. 
12 ^ Pes meus stètit in dirécto~; in ecclésiîs benedícem te, Dòmine. 
