1 ^ ¿~Ut quid, Deus, repulìsti in finem, irátus est furor tuus super oves páscuae tuae~? 
2 ^ Mèmor èsto congregaziónis tuae, quam possedìsti ab inìzio~; redemìsti vìrgam hereditátis tuae~; mons Siónis in quo habitavìsti in eo. 
3 ^ Lèva mànüs tuas in supèrbias eórum in finem, quanta malignátus est inimícus in sancto. 
4 ^ Et gloriáti sunt qui odérunt te in mèdio solemnitátis tuae~; posuérunt sìgna sua in sìgna, 
5 ^ et non cognovérunt sicut in èxitu super summum. 
6 ^ Quasi in sỳlva lignórum secúribus, excaedérunt jánuas ejus in idìpsum~; in secúri et àsçia dejeçérunt eam. 
7 ^ Inçensérunt ìgni sanctuárium tuum~; in terra polluvérunt tabernáculum nóminis tui. 
8 ^ Dixérunt in corde suo cognázio eórum sìmul, «~Quiéscere façiámus òmnes dies festos Dei a terra.~»
9 ^ Signa nostra non vídimus~; jam non est prophéta, et nos non cognóscet àmplius. 
10 ^ ¿~Úsquequo, Deus, improperábit inimícus~? ¿~Irrítat adversárius nomen tuum in finem~? 
11 ^ ¿~Ut quid avèrtis mànum tuam, et dèxteram tuam de mèdio sìnu tuo in finem~? 
12 ^ Deus autem rex noster ànte sáecula~; operátus est salútem in mèdio terrae. 
13 ^ Tu confirmavìsti in virtúte tua mare~; contribulavìsti cápita dracónum in aquïs. 
14 ^ Tu confregìsti cápita dracónis~; dedìsti eum escam pòpulïs Aethiópum. 
15 ^ Tu dirupìsti fòntes et torrèntes~; tu siccavìsti flúvios Étae. 
16 ^ Tuus est dies, et tua est nòx~; tu fabricátus es auróram et sólem. 
17 ^ Tu feçìsti òmnes tèrminos terrae~; aestátem et ver, tu plasmavìsti ea. 
18 ^ Mèmor èsto hujus, inimícus improperávit Dòmino, et pòpulus insápiens incitávit nomen tuum. 
19 ^ Ne tradas béstiïs ànimas confitèntes tìbi, et ànimas páuperum tuórum ne obliviscáris in finem. 
20 ^ Rèspiçe in testamèntum tuum, quia repléti sunt qui obscuráti sunt terrae dómibus iniquitátum. 
21 ^ Ne avertátur húmilis fàctus confúsus~; pauper et inops laudábunt nomen tuum. 
22 ^ Exsùrge, Deus~; júdica causam tuam~; mèmor èsto improperiórum tuórum, eórum quae ab insapiènti sunt tota die. 
23 ^ Ne obliviscáris voçes inimicórum tuórum~; supèrbia eórum qui te odérunt asçèndit sèmper. 
